icd9_code,icd10_code,approximate,no_map,combination,scenario,choice_list
01650,A1814,1,0,0,0,0
01650,A1815,1,0,0,0,0
01651,A1814,1,0,0,0,0
01651,A1815,1,0,0,0,0
01652,A1814,1,0,0,0,0
01652,A1815,1,0,0,0,0
01653,A1814,1,0,0,0,0
01653,A1815,1,0,0,0,0
01654,A1814,1,0,0,0,0
01654,A1815,1,0,0,0,0
01655,A1814,1,0,0,0,0
01655,A1815,1,0,0,0,0
01656,A1814,1,0,0,0,0
01656,A1815,1,0,0,0,0
01660,A1817,1,0,0,0,0
01661,A1817,1,0,0,0,0
01662,A1817,1,0,0,0,0
01663,A1817,1,0,0,0,0
01664,A1817,1,0,0,0,0
01665,A1817,1,0,0,0,0
01666,A1817,1,0,0,0,0
01670,A1816,1,0,0,0,0
01670,A1817,1,0,0,0,0
01670,A1818,1,0,0,0,0
01671,A1816,1,0,0,0,0
01671,A1817,1,0,0,0,0
01671,A1818,1,0,0,0,0
01672,A1816,1,0,0,0,0
01672,A1817,1,0,0,0,0
01672,A1818,1,0,0,0,0
01673,A1816,1,0,0,0,0
01673,A1817,1,0,0,0,0
01673,A1818,1,0,0,0,0
01674,A1816,1,0,0,0,0
01674,A1817,1,0,0,0,0
01674,A1818,1,0,0,0,0
01675,A1816,1,0,0,0,0
01675,A1817,1,0,0,0,0
01675,A1818,1,0,0,0,0
01676,A1816,1,0,0,0,0
01676,A1817,1,0,0,0,0
01676,A1818,1,0,0,0,0
01690,A1810,1,0,0,0,0
01691,A1810,1,0,0,0,0
01692,A1810,1,0,0,0,0
01693,A1810,1,0,0,0,0
01694,A1810,1,0,0,0,0
01695,A1810,1,0,0,0,0
01696,A1810,1,0,0,0,0
01700,A184,1,0,0,0,0
01701,A184,1,0,0,0,0
01702,A184,1,0,0,0,0
01703,A184,1,0,0,0,0
01704,A184,1,0,0,0,0
01705,A184,1,0,0,0,0
01706,A184,1,0,0,0,0
01710,A184,1,0,0,0,0
01711,A184,1,0,0,0,0
01712,A184,1,0,0,0,0
01713,A184,1,0,0,0,0
01714,A184,1,0,0,0,0
01715,A184,1,0,0,0,0
01716,A184,1,0,0,0,0
01720,A182,1,0,0,0,0
01721,A182,1,0,0,0,0
01722,A182,1,0,0,0,0
01723,A182,1,0,0,0,0
01724,A182,1,0,0,0,0
